Route,Direction,Period,Pattern,Block,Trip,Service Type,Avg. Ons,Avg. Offs,Avg. Time,Avg. P/Vh,Avg. Dist,Avg. M/H,Avg. P/M,Avg. PM,Max Load,Trips Sampled,Trips Scheduled
,,,,,,,7291,7291,0:57:33,61.08,9.12,9.78,6.53,18144.33,26.99,2334,14326
,,,,,,,3627,3627,1:01:33,56.34,9.38,9.34,6.32,9132.47,26.62,1162,7106
16,Northbound,Early AM,N1,3801,[05:35] 7059701,WEEKDAY,30,30,0:46:51,38.42,9.42,12.07,3.18,52.64,18.67,15,114
16,Northbound,Early AM,N1,3802,[05:56] 7059675,WEEKDAY,32,32,0:49:52,38.5,9.33,11.23,3.43,75.19,17.35,17,114
16,Northbound,AM Peak,N1,3801,[06:12] 7059914,SUNDAY,0,0,,0,0,0,0,0,0,0,4
16,Northbound,AM Peak,N1,3554,[06:13] 7059702,WEEKDAY,31,31,0:50:42,36.67,9.35,11.06,3.32,70.41,18.14,28,114
16,Northbound,AM Peak,N1,3552,[06:36] 7059703,WEEKDAY,35,35,0:56:44,37.02,9.3,9.84,3.76,72.93,17.4,25,114
16,Northbound,AM Peak,N1,3802,[06:38] 7059915,SUNDAY,0,0,,0,0,0,0,0,0,0,4
16,Northbound,AM Peak,N1,3803,[06:55] 7059704,WEEKDAY,45,45,0:58:44,45.96,9.5,9.7,4.74,91.68,19.55,11,114
16,Northbound,AM Peak,N1,3803,[07:07] 7059902,SUNDAY,0,0,,0,0,0,0,0,0,0,4
16,Northbound,AM Peak,N1,3804,[07:14] 7059705,WEEKDAY,63,63,0:58:48,64.27,9.43,9.62,6.68,137.93,28.07,14,114
16,Northbound,AM Peak,N1,3805,[07:30] 7059706,WEEKDAY,55,55,1:00:41,54.37,9.35,9.24,5.88,106.47,21.31,13,114
16,Northbound,AM Peak,N1,3272,[07:37] 7059916,SUNDAY,0,0,,0,0,0,0,0,0,0,4
16,Northbound,AM Peak,N1,3806,[07:46] 7059707,WEEKDAY,54,54,1:02:11,52.09,9.49,9.15,5.69,109.56,20.61,18,114
16,Northbound,AM Peak,N1,3808,[08:00] 7059708,WEEKDAY,50,50,1:01:04,49.13,9.42,9.26,5.31,87.14,18.87,15,114
16,Northbound,AM Peak,N1,3801,[08:07] 7059903,SUNDAY,0,0,,0,0,0,0,0,0,0,4
16,Northbound,AM Peak,N1,3810,[08:14] 7059709,WEEKDAY,48,48,1:00:36,47.52,9.33,9.24,5.15,80.29,18.23,26,114
16,Northbound,AM Peak,N1,3812,[08:28] 7059710,WEEKDAY,38,38,0:59:39,38.22,9.23,9.28,4.12,61.52,14.32,19,114
16,Northbound,AM Peak,N1,3802,[08:38] 7059917,SUNDAY,0,0,,0,0,0,0,0,0,0,4
16,Northbound,AM Peak,N1,3554,[08:40] 7059711,WEEKDAY,42,42,1:01:33,40.93,9.31,9.08,4.51,75.86,14.79,28,114
16,Northbound,AM Peak,N1,3801,[08:52] 7059676,WEEKDAY,51,51,1:05:14,46.9,9.46,8.7,5.39,100.63,20.93,15,114
16,Northbound,Midday,N1,3814,[09:04] 7059712,WEEKDAY,52,52,1:01:52,50.43,9.46,9.18,5.5,112.49,22.26,23,114
16,Northbound,Midday,N1,3803,[09:08] 7059904,SUNDAY,0,0,,0,0,0,0,0,0,0,4
16,Northbound,Midday,N1,3552,[09:16] 7059717,WEEKDAY,46,46,1:05:12,42.33,9.42,8.67,4.88,86.78,18.28,25,114
