Route,Direction,Period,Pattern,Block,Trip,Service Type,Avg. Ons,Avg. Offs,Avg. Time,Avg. P/Vh,Avg. Dist,Avg. M/H,Avg. P/M,Avg. PM,Max Load,Trips Sampled,Trips Scheduled
42,Westbound,Midday,W01,9123,[12:43] 7068715,WEEKDAY,37,37,01:05:21,33.96,8.23,7.55,4.5,67.03,17.2,44,114
42,Westbound,Midday,W02,9108,[12:53] 7068714,WEEKDAY,34,34,00:59:46,34.13,6.86,6.88,4.96,54.2,17.4,30,114
42,Westbound,Midday,W01,9106,[13:03] 7068713,WEEKDAY,39,39,01:09:24,33.72,8.14,7.03,4.79,76.88,19.16,32,114
42,Westbound,Midday,W02,9109,[13:13] 7068712,WEEKDAY,43,43,01:03:09,40.85,6.86,6.52,6.26,76.13,21.19,26,114
42,Westbound,Midday,W01,9140,[13:23] 7068711,WEEKDAY,58,58,01:12:59,47.68,8.1,6.66,7.16,98.8,24.44,45,114
42,Westbound,Midday,W02,9141,[13:34] 7068710,WEEKDAY,46,46,01:01:45,44.7,6.89,6.7,6.68,82.16,23.04,26,114
42,Westbound,Midday,W01,9110,[13:44] 7068661,WEEKDAY,49,49,01:11:11,41.29,8.06,6.79,6.08,98.7,23.9,21,114
42,Westbound,Midday,W02,9142,[13:54] 7068660,WEEKDAY,45,45,01:02:01,42.56,6.84,6.62,6.43,81.87,22.32,38,114
42,Westbound,Midday,W01,9134,[14:04] 7068659,WEEKDAY,54,54,01:11:11,45.51,8.02,6.76,6.73,100.58,23.76,29,114
42,Westbound,Midday,W02,9135,[14:14] 7068700,WEEKDAY,41,41,01:02:03,39.64,6.9,6.67,5.94,72.84,19.65,20,114
42,Westbound,Midday,W01,9143,[14:24] 7068734,WEEKDAY,59,59,01:08:46,51.47,8.09,7.06,7.29,113.17,27.16,37,114
42,Westbound,Midday,W02,9136,[14:34] 7068733,WEEKDAY,46,46,01:02:56,43.85,6.93,6.61,6.64,84.1,23.79,34,114
42,Westbound,Midday,W01,9137,[14:44] 7068732,WEEKDAY,56,56,01:12:42,46.21,8.05,6.64,6.96,117.12,28.63,32,114
42,Westbound,Midday,W02,9138,[14:54] 7068731,WEEKDAY,73,73,01:06:29,65.87,6.89,6.22,10.6,133.42,37.93,28,114
42,Westbound,PM Peak,W01,9146,[15:04] 7068729,WEEKDAY,85,85,01:13:56,68.98,8.12,6.59,10.47,173.53,42.17,48,114
42,Westbound,PM Peak,W02,9151,[15:14] 7068728,WEEKDAY,65,65,01:04:28,60.49,6.91,6.43,9.41,120.35,32.48,42,114
42,Westbound,PM Peak,W01,9150,[15:23] 7068730,WEEKDAY,52,52,01:13:33,42.42,8.19,6.68,6.35,115.06,27.75,64,114
