Route,Direction,Period,Pattern,Block,Trip,Service Type,Avg. Ons,Avg. Offs,Avg. Time,Avg. P/Vh,Avg. Dist,Avg. M/H,Avg. P/M,Avg. PM,Max Load,Trips Sampled,Trips Scheduled
,,,,,,,10068,10068,0:51:52,51.25,6.16,7.32,7.37,15637.38,22.46,7933,25788
,,,,,,,4798,4798,0:48:59,51.49,6.24,7.88,6.94,7406.45,20.38,3950,12894
21,Eastbound,Early AM,E01,9105,[05:14] 7061828,WEEKDAY,19,19,0:34:08,33.39,6.31,11.08,3.01,49.63,15.88,17,114
21,Eastbound,Early AM,E01,9107,[05:30] 7061829,WEEKDAY,20,20,0:37:04,32.36,6.26,10.14,3.19,38.52,13.5,30,114
21,Eastbound,Early AM,E01,9902,[05:44] 7061830,WEEKDAY,25,25,0:40:43,36.83,6.24,9.19,4.01,53.55,16.16,64,114
21,Eastbound,Early AM,E01,9903,[05:55] 7061831,WEEKDAY,15,15,0:35:37,25.27,6.21,10.46,2.42,33.15,10.52,54,114
21,Eastbound,AM Peak,E01,9111,[06:05] 7061814,WEEKDAY,21,21,0:35:22,35.62,6.29,10.66,3.34,46.42,15.05,21,114
21,Eastbound,AM Peak,E01,9904,[06:13] 7061745,WEEKDAY,20,20,0:36:03,33.28,6.28,10.45,3.19,47.63,13.66,50,114
21,Eastbound,AM Peak,E01,9113,[06:20] 7061742,WEEKDAY,24,24,0:36:27,39.49,6.21,10.22,3.86,51.73,17.04,23,114
21,Eastbound,AM Peak,E01,9105,[06:24] 7062334,SUNDAY,0,0,,0,0,0,0,0,0,0,4
21,Eastbound,AM Peak,E01,9114,[06:26] 7061746,WEEKDAY,23,23,0:38:34,35.77,6.24,9.7,3.69,44.5,15.25,20,114
21,Eastbound,AM Peak,E01,9116,[06:32] 7061747,WEEKDAY,24,24,0:38:30,37.4,6.22,9.69,3.86,49.13,16.33,24,114
21,Eastbound,AM Peak,E01,9118,[06:37] 7061748,WEEKDAY,27,27,0:42:00,38.56,6.27,8.95,4.31,53.36,17.25,32,114
21,Eastbound,AM Peak,E01,9120,[06:43] 7061749,WEEKDAY,28,28,0:39:03,43.01,6.24,9.59,4.48,57.62,18.45,20,114
21,Eastbound,AM Peak,E01,9106,[06:47] 7062333,SUNDAY,0,0,,0,0,0,0,0,0,0,4
21,Eastbound,AM Peak,E01,9122,[06:48] 7061750,WEEKDAY,30,30,0:41:24,43.46,6.21,9,4.83,63.29,19.16,37,114
21,Eastbound,AM Peak,E01,9105,[06:54] 7061751,WEEKDAY,36,36,0:42:59,50.25,6.26,8.74,5.75,77.72,23.32,22,114
21,Eastbound,AM Peak,E01,9124,[07:00] 7061752,WEEKDAY,34,34,0:43:20,47.07,6.19,8.57,5.49,64.63,21.36,28,114
21,Eastbound,AM Peak,E01,9126,[07:06] 7061753,WEEKDAY,36,36,0:42:46,50.5,6.23,8.74,5.78,66.51,20.85,41,114
21,Eastbound,AM Peak,E01,9107,[07:11] 7062332,SUNDAY,0,0,,0,0,0,0,0,0,0,4
21,Eastbound,AM Peak,E01,9107,[07:12] 7061754,WEEKDAY,54,54,0:48:39,66.58,6.25,7.7,8.65,99.33,30.97,30,114
21,Eastbound,AM Peak,E01,9128,[07:18] 7061755,WEEKDAY,57,57,0:49:46,68.71,6.27,7.56,9.09,102.76,34.14,14,114
21,Eastbound,AM Peak,E01,9130,[07:24] 7061756,WEEKDAY,51,51,0:48:59,62.47,6.27,7.67,8.14,89.7,29.21,77,114
21,Eastbound,AM Peak,E01,9902,[07:30] 7061757,WEEKDAY,54,54,0:51:57,62.37,6.27,7.25,8.61,93.03,29.46,68,114
21,Eastbound,AM Peak,E01,9131,[07:35] 7061758,WEEKDAY,46,46,0:50:46,54.35,6.28,7.42,7.32,66.34,24.04,47,114
21,Eastbound,AM Peak,E01,9108,[07:35] 7062331,SUNDAY,0,0,,0,0,0,0,0,0,0,4
21,Eastbound,AM Peak,E01,9903,[07:42] 7061759,WEEKDAY,53,53,0:52:06,61.02,6.2,7.14,8.54,86.23,27.89,53,114
21,Eastbound,AM Peak,E01,9111,[07:49] 7061822,WEEKDAY,53,53,0:50:42,62.71,6.29,7.44,8.43,93.77,28.83,23,114
21,Eastbound,AM Peak,E01,9110,[07:54] 7062330,SUNDAY,0,0,,0,0,0,0,0,0,0,4
21,Eastbound,AM Peak,E01,9904,[07:56] 7061760,WEEKDAY,40,40,0:49:52,48.13,6.28,7.55,6.37,66.47,21.02,54,114
21,Eastbound,AM Peak,E01,9113,[08:04] 7061761,WEEKDAY,62,62,0:51:13,72.63,6.2,7.26,10,93.09,30.44,25,114
21,Eastbound,AM Peak,E01,9114,[08:12] 7061762,WEEKDAY,63,63,0:57:17,65.99,6.21,6.5,10.15,108.03,33.15,20,114
21,Eastbound,AM Peak,E01,9105,[08:14] 7062329,SUNDAY,0,0,,0,0,0,0,0,0,0,4
21,Eastbound,AM Peak,E01,9116,[08:20] 7061763,WEEKDAY,47,47,0:54:14,51.99,6.13,6.78,7.66,75.43,26.96,25,114
21,Eastbound,AM Peak,E01,9118,[08:28] 7061764,WEEKDAY,60,60,0:55:22,65.01,6.29,6.81,9.55,102.03,34.33,33,114
21,Eastbound,AM Peak,E01,9104,[08:33] 7062326,SUNDAY,0,0,,0,0,0,0,0,0,0,4
21,Eastbound,AM Peak,E01,9120,[08:36] 7061765,WEEKDAY,49,49,0:52:01,56.5,6.23,7.19,7.86,81.35,25.9,21,114
21,Eastbound,AM Peak,E01,9122,[08:44] 7061766,WEEKDAY,46,46,0:51:16,53.82,6.25,7.31,7.36,77.14,24.57,35,114
21,Eastbound,AM Peak,E01,9113,[08:47] 7062325,SUNDAY,0,0,,0,0,0,0,0,0,0,4
21,Eastbound,AM Peak,E01,9105,[08:51] 7061767,WEEKDAY,40,40,0:50:04,47.92,6.21,7.45,6.44,70.51,21.55,22,114
21,Eastbound,AM Peak,E01,9124,[08:59] 7061821,WEEKDAY,41,41,0:52:07,47.2,6.25,7.2,6.56,69.63,21.53,30,114
21,Eastbound,Midday,E01,9107,[09:03] 7062324,SUNDAY,0,0,,0,0,0,0,0,0,0,4
21,Eastbound,Midday,E01,9107,[09:07] 7061768,WEEKDAY,47,47,0:53:09,53.05,6.25,7.06,7.51,80.6,25.29,31,114
