Route,apr_19,apr_19,apr_19,apr_19,apr_19,apr_19,apr_19,may_19,may_19,may_19,may_19,may_19,may_19,may_19,jun_19,jun_19,jun_19,jun_19,jun_19,jun_19,jun_19,jul_19,jul_19,jul_19,jul_19,jul_19,jul_19,jul_19,aug_19,aug_19,aug_19,aug_19,aug_19,aug_19,aug_19,sep_19,sep_19,sep_19,sep_19,sep_19,sep_19,sep_19,oct_19,oct_19,oct_19,oct_19,oct_19,oct_19,oct_19,nov_19,nov_19,nov_19,nov_19,nov_19,nov_19,nov_19,dec_19,dec_19,dec_19,dec_19,dec_19,dec_19,dec_19,jan_20,jan_20,jan_20,jan_20,jan_20,jan_20,jan_20,feb_20,feb_20,feb_20,feb_20,feb_20,feb_20,feb_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20
Route,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late,n_obs,n_ontime,pct_ontime,n_early,pct_early,n_late,pct_late
21,33506,23538,0.702501045,2765,0.082522533,7203,0.214976422,40754,27904,0.684693527,3929,0.096407715,8921,0.218898758,33372,23732,0.711135083,2728,0.081745176,6912,0.207119741,30447,21427,0.703747496,3196,0.104969291,5824,0.191283213,40183,28504,0.709354702,3966,0.098698455,7713,0.191946843,31344,22652,0.722690148,2949,0.094084992,5743,0.18322486,32722,23232,0.709981053,3174,0.096998961,6316,0.193019987,39873,28450,0.713515411,5071,0.127178793,6352,0.159305796,32507,23938,0.736395238,4246,0.130618021,4323,0.132986741,31480,23505,0.746664549,4735,0.150412961,3240,0.10292249,31958,24484,0.766130546,4119,0.128887915,3355,0.104981538,39256,27168,0.692072549,8621,0.219609741,3467,0.088317709
30,8256,6111,0.740188953,319,0.038638566,1826,0.221172481,10031,6948,0.692652776,298,0.029707905,2785,0.277639318,8121,5874,0.723309937,396,0.048762468,1851,0.227927595,7410,5278,0.712280702,324,0.043724696,1808,0.243994602,9997,7144,0.714614384,363,0.036310893,2490,0.249074722,7639,5210,0.682026443,238,0.03115591,2191,0.286817646,8098,5688,0.702395653,250,0.03087182,2160,0.266732527,9594,6690,0.697310819,472,0.049197415,2432,0.253491766,8105,6338,0.781986428,657,0.081061073,1110,0.136952498,7578,6300,0.831353919,523,0.069015571,755,0.099630509,7544,6237,0.826749735,319,0.04228526,988,0.130965005,10002,8136,0.813437313,953,0.095280944,913,0.091281744
31,14164,11142,0.786642191,1077,0.076037842,1945,0.137319966,17663,12924,0.731699032,1052,0.059559531,3687,0.208741437,14080,10668,0.757670455,959,0.068110795,2453,0.17421875,13151,10133,0.770511748,943,0.071705574,2075,0.157782678,17307,13011,0.751776738,1499,0.086612353,2797,0.161610909,13853,10328,0.745542482,759,0.054789576,2766,0.199667942,13741,10575,0.769594644,1079,0.078524125,2087,0.151881231,16820,12957,0.770332937,1514,0.090011891,2349,0.139655172,13888,10438,0.751584101,1564,0.112615207,1886,0.135800691,13044,10074,0.772309108,1452,0.111315547,1518,0.116375345,13707,10453,0.76260305,1526,0.111329977,1728,0.126066973,17130,12889,0.75242265,2804,0.163689434,1437,0.083887916
38,14916,10867,0.728546527,1374,0.092115849,2675,0.179337624,19095,12384,0.64854674,1257,0.065828751,5454,0.285624509,15195,10110,0.665350444,921,0.060612043,4164,0.274037512,14054,9670,0.688060339,1036,0.073715668,3348,0.238223993,18400,13405,0.728532609,1318,0.071630435,3677,0.199836957,14999,10633,0.708913928,1136,0.075738383,3230,0.21534769,15422,10946,0.70976527,1593,0.103293996,2883,0.186940734,17171,12557,0.73129113,1839,0.107099179,2775,0.161609691,14720,10401,0.706589674,1470,0.09986413,2849,0.193546196,14198,10522,0.741090294,1765,0.124313284,1911,0.134596422,14378,10788,0.750312978,1453,0.101057171,2137,0.148629851,18777,14178,0.755072695,3277,0.174522022,1322,0.070405283
40,27723,17820,0.642787577,1463,0.052772067,8440,0.304440356,32866,18145,0.552090306,1442,0.043875129,13279,0.404034565,25563,14883,0.582208661,1497,0.058561202,9183,0.359230137,25149,15513,0.616843612,2184,0.086842419,7452,0.296313969,31666,20303,0.641160867,2869,0.090601907,8494,0.268237226,25652,17815,0.694487759,2232,0.087010759,5605,0.218501481,27368,19244,0.703156972,3079,0.112503654,5045,0.184339374,32215,22640,0.702778209,3327,0.103274872,6248,0.193946919,26513,18888,0.712405235,3547,0.133783427,4078,0.153811338,25328,18818,0.742972205,3378,0.133370183,3132,0.123657612,25565,19323,0.75583806,2456,0.096068844,3786,0.148093096,31513,22849,0.725065846,5403,0.171453051,3261,0.103481103
42,37710,24371,0.646274198,3128,0.08294882,10211,0.270776982,45636,28581,0.626281883,3589,0.078644053,13466,0.295074064,38166,24866,0.651522297,3348,0.087722056,9952,0.260755646,35515,24575,0.691961143,3925,0.110516683,7015,0.197522174,45736,30395,0.664574952,4601,0.10059909,10740,0.234825958,36169,24440,0.675716774,3574,0.098813901,8155,0.225469325,37582,24640,0.655633016,3461,0.092091959,9481,0.252275025,45467,31249,0.687289683,4298,0.094530099,9920,0.218180219,37369,25506,0.682544355,3989,0.106746234,7874,0.210709412,35762,25774,0.720709133,3884,0.108606901,6104,0.170683966,36730,26664,0.725946093,3142,0.085543153,6924,0.188510754,46081,33101,0.718322085,7420,0.161020811,5560,0.120657104
43,18008,12475,0.692747668,793,0.044035984,4740,0.263216348,22178,15255,0.687843809,1277,0.057579583,5646,0.254576607,15400,11021,0.715649351,906,0.058831169,3473,0.225519481,12967,9418,0.726305236,891,0.068712887,2658,0.204981877,17125,11967,0.69880292,1248,0.072875912,3910,0.228321168,16725,11044,0.660328849,1012,0.060508221,4669,0.27916293,17884,12341,0.690058153,1407,0.078673675,4136,0.231268173,19945,13749,0.689345701,1684,0.084432189,4512,0.226222111,17050,12909,0.7571261,1812,0.10627566,2329,0.13659824,16106,12070,0.749410158,1329,0.082515833,2707,0.16807401,17064,12561,0.736111111,1505,0.088197375,2998,0.175691514,21847,16784,0.768251934,2413,0.110449947,2650,0.121298119
44,15303,9803,0.640593348,993,0.064889237,4507,0.294517415,17995,10520,0.584606835,1113,0.061850514,6362,0.353542651,13950,8364,0.599569892,877,0.062867384,4709,0.337562724,13079,8024,0.613502561,921,0.070418228,4134,0.316079211,17237,11097,0.643789523,1380,0.080060335,4760,0.276150142,13473,8112,0.602093075,955,0.070882506,4406,0.327024419,14683,8952,0.609684669,987,0.067220595,4744,0.323094735,16977,11101,0.653884667,1201,0.07074277,4675,0.275372563,14471,9117,0.630018658,1349,0.093220925,4005,0.276760417,14208,10313,0.725858671,1459,0.102688626,2436,0.171452703,14989,10778,0.719060644,1325,0.088398159,2886,0.192541197,14697,10181,0.692726407,2275,0.154793495,2241,0.152480098
46,11806,11245,0.952481789,261,0.022107403,300,0.025410808,14658,13912,0.94910629,352,0.02401419,394,0.02687952,12133,11427,0.941811588,226,0.018626885,480,0.039561526,11387,10832,0.951260209,192,0.016861333,363,0.031878458,14765,13939,0.944056891,477,0.032306129,349,0.023636979,11347,10767,0.948885168,275,0.024235481,305,0.026879351,11603,10865,0.93639576,451,0.038869258,287,0.024734982,13797,12747,0.923896499,521,0.037761832,529,0.038341668,11286,10716,0.949494949,310,0.027467659,260,0.023037391,10918,10367,0.949532881,309,0.028301887,242,0.022165232,11026,10457,0.948394703,352,0.031924542,217,0.019680755,14546,13468,0.925890279,522,0.035886154,556,0.038223567
52,42792,34849,0.814381193,2831,0.066157226,5112,0.119461582,51348,39531,0.769864454,3101,0.060391836,8716,0.16974371,37949,29175,0.768794962,2646,0.069725157,6128,0.161479881,37226,30969,0.831918552,2901,0.077929404,3356,0.090152044,46941,38203,0.813851431,3941,0.083956456,4797,0.102192114,40731,32742,0.803859468,2888,0.070904225,5101,0.125236306,40855,32974,0.807098274,3499,0.085644352,4382,0.107257374,48540,39233,0.808261228,4344,0.089493201,4963,0.102245571,39189,31623,0.80693562,3978,0.101508076,3588,0.091556304,37628,30496,0.810460296,4262,0.113266716,2870,0.076272988,38876,31757,0.816879309,3823,0.098338306,3296,0.084782385,52001,41410,0.79633084,6100,0.117305436,4491,0.086363724
