Route,Direction,Pattern,Early AM 03:00 - 05:59 Vehicle Hours,Early AM 03:00 - 05:59 Psg,Early AM 03:00 - 05:59 Psg/VH,AM Peak 06:00 - 08:59 Vehicle Hours,AM Peak 06:00 - 08:59 Psg,AM Peak 06:00 - 08:59 Psg/VH,Midday 09:00 - 14:59 Vehicle Hours,Midday 09:00 - 14:59 Psg,Midday 09:00 - 14:59 Psg/VH,PM Peak 15:00 - 17:59 Vehicle Hours,PM Peak 15:00 - 17:59 Psg,PM Peak 15:00 - 17:59 Psg/VH,Evening 18:00 - 21:59 Vehicle Hours,Evening 18:00 - 21:59 Psg,Evening 18:00 - 21:59 Psg/VH,Late Night 22:00 - 02:59 Vehicle Hours,Late Night 22:00 - 02:59 Psg,Late Night 22:00 - 02:59 Psg/VH,Total  Vehicle Hours,Total  Psg,Total  Psg/VH
,,,103.7,3371,0,715.3,37962,0,995.1,55897.5,0,661.8,39907.5,0,623.7,26400,0,306.8,8589,0,3354.4,170442,50.8
21,Eastbound,E01,103.7,3371,32.5,704.7,37804,53.6,979.5,57080,58.3,628.1,34988,55.7,532.9,22350,41.9,202.5,6177,30.5,3151.6,161770,51.3
21,Westbound,W01,0,0,0,725.8,38120,52.5,1010.6,54715,54.1,695.4,44827,64.5,714.5,30450,42.6,411,11001,26.8,3557.3,179113,50.4
