Route,Direction,Stop Code,Stop,Ons,Offs,Load,Passenger Miles,Lat,Lon
42,Westbound,22181,Marshall Rd & Harrison Av,1,18,14,45.9,39.954444,-75.254653
42,Westbound,22187,Marshall Rd & Long Ln - FS,0,37,6,21.3,39.952537,-75.263931
42,Westbound,22184,Marshall Rd & Millbank Rd - FS,1,29,9,12.1,39.95351,-75.260139
42,Westbound,26121,Marshall Rd & Powell Ln,1,13,15,32.3,39.955562,-75.251693
42,Westbound,26122,Marshall Rd & Powell Ln - MBFS,1,3,15,27.7,39.954967,-75.25328
42,Westbound,22182,Marshall Rd & Rocklyn Rd,0,1,14,25.5,39.954601,-75.257186
42,Westbound,26123,Marshall Rd & Sherbrook Blvd,1,86,3,6.3,39.951488,-75.266281
42,Westbound,593,Penn's Landing - 1,80,0,1,5.7,39.948715,-75.140228
42,Westbound,30631,Penn's Landing - 2,28,3,2,10.7,39.949794,-75.140487
42,Westbound,26124,Sherbrook Blvd & Margate - FS,25,23,2,3.8,39.951915,-75.267646
42,Westbound,673,Spruce St & 2nd St,62,14,7,33.9,39.944522,-75.144744
42,Westbound,25095,Spruce St & 3rd St - FS,90,5,10,24.5,39.944831,-75.147048
42,Westbound,22139,Spruce St & 4th St,57,2,12,35.8,39.944976,-75.148292
42,Westbound,22140,Spruce St & 5th St,77,12,15,88.9,39.945175,-75.149917
42,Westbound,22143,Spruce St & 39th St,72,29,40,199,39.951499,-75.200622
42,Westbound,674,Spruce St & 40th St,107,55,41,222.1,39.951801,-75.202941
42,Westbound,22147,Spruce St & 41st St,13,12,41,116.8,39.952125,-75.205467
42,Westbound,22151,Spruce St & 42nd St,20,30,40,205.9,39.952289,-75.206802
42,Westbound,22154,Spruce St & 43rd St,33,37,40,111.7,39.952552,-75.209144
42,Westbound,22156,Spruce St & 44th St,12,47,39,138.9,39.952713,-75.210433
42,Westbound,22158,Spruce St & 45th St,22,79,38,164.9,39.952911,-75.212066
42,Westbound,22160,Spruce St & 46th St,8,67,38,156.4,39.953166,-75.21405
42,Westbound,22190,Spruce St & 47th St,19,77,36,152.9,39.953411,-75.216033
42,Westbound,22191,Spruce St & 48th St,50,106,37,142.9,39.953662,-75.218025
42,Westbound,22192,Spruce St & 49th St,34,97,35,139.5,39.953887,-75.21997
42,Westbound,22193,Spruce St & 50th St,21,90,34,130.8,39.954135,-75.221946
42,Westbound,22161,Spruce St & 51st St,14,73,33,127,39.954387,-75.223907
42,Westbound,675,Spruce St & 52nd St,110,161,33,119.8,39.954631,-75.225898
42,Westbound,22163,Spruce St & 53rd St,33,55,32,107.7,39.954883,-75.227859
42,Westbound,22165,Spruce St & 54th St,27,84,33,122.9,39.955104,-75.229667
42,Westbound,22166,Spruce St & 55th St,27,69,31,105.3,39.955383,-75.231826
42,Westbound,22167,Spruce St & 56th St,29,113,29,101.3,39.955642,-75.233764
42,Westbound,22168,Spruce St & 57th St,33,122,26,89.4,39.955879,-75.235801
42,Westbound,22169,Spruce St & 58th St,14,93,25,81.2,39.956138,-75.237762
42,Westbound,22170,Spruce St & 59th St,14,84,23,74.6,39.956375,-75.239746
42,Westbound,676,Spruce St & 60th St,16,145,20,60.2,39.956626,-75.24176
42,Westbound,22171,Spruce St & 61st St,13,51,18,44.7,39.956871,-75.243713
42,Westbound,22172,Spruce St & 62nd St,9,29,18,40.8,39.957099,-75.245704
42,Westbound,22175,Spruce St & 63rd St,10,36,16,51.8,39.957344,-75.247734
42,Westbound,21230,University Av & Curie Blvd,21,47,37,193,39.947639,-75.198539
42,Westbound,21451,University Av & VA Medical Center,64,122,38,354.9,39.94923,-75.199394
42,Westbound,14880,Walnut St & 5th St - FS,93,8,17,83.5,39.947582,-75.149726
42,Westbound,14881,Walnut St & 7th St,193,10,20,61.2,39.947925,-75.152511
42,Westbound,14882,Walnut St & 8th St,205,10,22,78.8,39.948131,-75.15406
42,Westbound,14883,Walnut St & 9th St,127,27,24,85,39.948318,-75.155662
42,Westbound,14884,Walnut St & 10th St,122,37,24,97.4,39.948513,-75.157218
42,Westbound,14885,Walnut St & 11th St,133,33,25,101.7,39.948703,-75.158828
42,Westbound,14886,Walnut St & 12th St,138,37,26,113.5,39.948894,-75.160385
42,Westbound,14887,Walnut St & 13th St,124,48,26,123.8,39.949089,-75.16201
42,Westbound,14079,Walnut St & 15th St,232,96,27,135.2,39.949577,-75.165809
42,Westbound,14080,Walnut St & 16th St,209,100,28,141.8,39.949775,-75.167396
42,Westbound,14081,Walnut St & 17th St,170,101,29,139.5,39.949977,-75.168968
42,Westbound,14084,Walnut St & 18th St,135,91,30,159.8,39.950149,-75.170455
42,Westbound,14085,Walnut St & 19th St,149,98,31,152.3,39.950374,-75.172111
42,Westbound,14086,Walnut St & 20th St,157,75,32,194.5,39.950576,-75.173637
42,Westbound,14088,Walnut St & 21st St,104,60,32,173.2,39.950809,-75.175529
42,Westbound,14089,Walnut St & 22nd St,116,60,33,125.3,39.951,-75.177169
42,Westbound,131,Walnut St & 23rd St,48,37,34,147.1,39.951145,-75.178306
42,Westbound,19542,Walnut St & 24th St - MBFS,43,21,34,524,39.951328,-75.179618
42,Westbound,432,Walnut St & 30th St - FS,52,80,34,414.8,39.951881,-75.18428
42,Westbound,25704,Walnut St & 32nd St - FS,9,18,35,214.9,39.952354,-75.18798
42,Westbound,21359,Walnut St & 33rd St,20,27,35,284.9,39.952587,-75.189933
42,Westbound,130,Walnut St & Broad St - MBNS,291,165,26,172.5,39.949302,-75.163658
42,Westbound,26125,Wycombe Loop,50,64,1,0,39.951774,-75.267791
