Route,Direction,Stop Code,Stop,Ons,Offs,Load,Passenger Miles,Lat,Lon
,,,,9361,9233,41,17533.8,,
,,,,4417,4377,39,8406,,
42,Eastbound,93,23rd St & Market St - FS,31,87,23,128.1,39.953918,-75.17794
42,Eastbound,32416,33rd st & Chestnut St,38,34,26,160.5,39.953922,-75.189689
42,Eastbound,21442,33rd St & Locust St,28,14,24,134.1,39.951248,-75.190505
42,Eastbound,21445,33rd St & Market St,15,22,26,115.4,39.955406,-75.189437
42,Eastbound,21441,33rd St & Spruce St,365,243,24,169.5,39.95008,-75.19194
42,Eastbound,21443,33rd St & Walnut St,58,41,26,159.1,39.952465,-75.189994
42,Eastbound,437,61st St & Pine St Loop,84,0,6,8,39.955543,-75.244422
42,Eastbound,26108,61st St & Spruce St,51,0,8,13.6,39.956668,-75.243804
42,Eastbound,20971,Chestnut St & 2nd St,0,82,2,5.8,39.948333,-75.144203
42,Eastbound,20970,Chestnut St & 3rd St,2,73,3,14.9,39.948589,-75.146141
42,Eastbound,14909,Chestnut St & 4th St - MBNS,4,98,4,24.8,39.948867,-75.148254
42,Eastbound,6111,Chestnut St & 6th St,13,116,7,44.5,39.949188,-75.150909
42,Eastbound,6112,Chestnut St & 7th St,15,119,7,33.9,39.949375,-75.152488
42,Eastbound,6113,Chestnut St & 8th St,11,182,9,43.6,39.949569,-75.15406
42,Eastbound,6114,Chestnut St & 9th St,22,126,13,57.6,39.949768,-75.155662
42,Eastbound,14908,Chestnut St & 10th St,31,88,14,64.2,39.949958,-75.157188
42,Eastbound,6057,Chestnut St & 11th St,54,164,15,69.9,39.950168,-75.158767
42,Eastbound,6058,Chestnut St & 12th St,42,123,18,79.4,39.950347,-75.160339
42,Eastbound,6059,Chestnut St & 13th St,72,150,20,83.8,39.950538,-75.16188
42,Eastbound,6060,Chestnut St & 15th St,123,186,21,108.4,39.951011,-75.165718
42,Eastbound,14907,Chestnut St & 16th St,109,181,22,108.6,39.951202,-75.167312
42,Eastbound,6061,Chestnut St & 17th St,94,132,22,112.3,39.951385,-75.168869
42,Eastbound,6062,Chestnut St & 18th St,74,90,23,117.6,39.951599,-75.170463
42,Eastbound,14906,Chestnut St & 19th St,100,124,23,115,39.95182,-75.172004
42,Eastbound,6064,Chestnut St & 20th St,78,78,23,110.3,39.951999,-75.173576
42,Eastbound,6065,Chestnut St & 21st St,64,50,24,134.3,39.952228,-75.175506
42,Eastbound,6066,Chestnut St & 22nd St - FS,48,30,24,86.2,39.952392,-75.17675
42,Eastbound,6067,Chestnut St & 23rd St,3,10,23,96.6,39.95259,-75.178268
42,Eastbound,6115,Chestnut St & Broad St,103,216,20,127,39.950805,-75.164039
42,Eastbound,14915,Chestnut St & Front St,18,45,2,5.5,39.948131,-75.142578
42,Eastbound,21438,Civic Center Blvd & Convention Av - FS,3,2,25,109.2,39.949111,-75.192672
42,Eastbound,31744,Convention Av & Health Sciences Dr - FS,4,12,25,168.9,39.947902,-75.19168
42,Eastbound,21437,Health Sciences Dr & Civic Ctr Blvd - MBFS,77,89,25,528.6,39.9458,-75.196784
42,Eastbound,10285,Market St & 24th St,2,8,23,133.8,39.95425,-75.179244
42,Eastbound,18996,Market St & 30th St,39,83,24,158.4,39.954822,-75.183563
42,Eastbound,21528,Market St & 31st St,17,20,24,152.7,39.955051,-75.18544
42,Eastbound,21527,Market St & 32nd St,7,28,24,235.9,39.955402,-75.188354
42,Eastbound,21529,Market St & Schuylkill Av,31,32,23,180,39.954551,-75.181541
42,Eastbound,22135,Marshall Rd & 69th Blvd,85,6,16,31.6,39.953689,-75.258651
42,Eastbound,22108,Marshall Rd & Church Rd,9,6,18,67.4,39.956703,-75.250205
42,Eastbound,22104,Marshall Rd & Gilpin Rd,72,0,8,17.3,39.951599,-75.265686
42,Eastbound,22132,Marshall Rd & Grace Rd,17,0,11,15.3,39.953025,-75.262512
42,Eastbound,19608,Marshall Rd & Hampden Rd,22,0,12,20.7,39.953231,-75.261344
42,Eastbound,26100,Marshall Rd & Harrison Av - MBFS,7,0,17,31.8,39.954925,-75.25312
42,Eastbound,22107,Marshall Rd & Kent Rd,15,2,17,47.5,39.954238,-75.255126
42,Eastbound,26097,Marshall Rd & Long Ln - FS,23,0,11,13.4,39.952636,-75.263458
42,Eastbound,22131,Marshall Rd & Long Ln - MBNS,26,0,10,8.8,39.952289,-75.264152
42,Eastbound,22106,Marshall Rd & Millbank Rd - FS,19,1,13,18.9,39.953453,-75.259895
42,Eastbound,26102,Marshall Rd & Powell Ln,23,5,18,54.3,39.955413,-75.251823
42,Eastbound,22105,Marshall Rd & Rocklyn Rd,42,1,17,48.5,39.954429,-75.257247
42,Eastbound,593,Penn's Landing - 1,26,31,2,0,39.948715,-75.140228
42,Eastbound,22129,Spruce St & 38th St,38,214,34,255.5,39.951225,-75.199409
42,Eastbound,22128,Spruce St & 39th St,5,33,37,123,39.951385,-75.200874
42,Eastbound,672,Spruce St & 40th St - FS,53,92,38,163.4,39.951648,-75.202789
42,Eastbound,22127,Spruce St & 41st St,14,9,39,256,39.952026,-75.205688
42,Eastbound,22126,Spruce St & 42nd St,25,20,39,116.7,39.952178,-75.207008
42,Eastbound,22125,Spruce St & 43rd St,50,26,39,204.6,39.952453,-75.209365
42,Eastbound,22124,Spruce St & 44th St,46,13,39,110.3,39.952617,-75.210655
42,Eastbound,22123,Spruce St & 45th St,91,25,38,137.7,39.952816,-75.212287
42,Eastbound,26111,Spruce St & 46th St,77,14,37,158.4,39.95306,-75.214256
42,Eastbound,22122,Spruce St & 47th St,86,28,35,153,39.953311,-75.216255
42,Eastbound,22121,Spruce St & 48th St,109,72,34,148.4,39.953567,-75.218246
42,Eastbound,22120,Spruce St & 49th St,93,40,34,140.9,39.953792,-75.220191
42,Eastbound,22119,Spruce St & 50th St,87,36,32,137.7,39.954036,-75.222167
42,Eastbound,22118,Spruce St & 51st St,72,25,30,130.7,39.954288,-75.224128
42,Eastbound,671,Spruce St & 52nd St,135,145,29,127.8,39.954536,-75.226119
42,Eastbound,22117,Spruce St & 53rd St,60,25,32,126.9,39.954788,-75.22808
42,Eastbound,22116,Spruce St & 54th St,80,28,32,114.1,39.955005,-75.229888
42,Eastbound,22115,Spruce St & 55th St,80,20,30,130.3,39.955284,-75.232048
42,Eastbound,22114,Spruce St & 56th St,115,31,29,114.9,39.955528,-75.234077
42,Eastbound,22113,Spruce St & 57th St,127,40,28,105.7,39.955783,-75.236099
42,Eastbound,22112,Spruce St & 58th St,86,9,27,92.8,39.956024,-75.238052
42,Eastbound,22111,Spruce St & 59th St,92,11,25,84.3,39.95626,-75.240005
42,Eastbound,670,Spruce St & 60th St - FS,145,18,24,78,39.956512,-75.241996
42,Eastbound,22110,Spruce St & 61st St,30,6,20,52.5,39.956798,-75.244018
42,Eastbound,22136,Spruce St & 62nd St,23,11,18,48.2,39.957019,-75.246002
42,Eastbound,22109,Spruce St & Cobbs Creek - FS,17,14,18,40.1,39.957229,-75.247665
42,Eastbound,21435,University Av & Baltimore Av - MBFS,114,75,32,124.8,39.948818,-75.199417
42,Eastbound,31743,University Av & Curie Blvd,30,66,29,338.1,39.947677,-75.198837
42,Eastbound,14880,Walnut St & 5th St - FS,0,1,1,0,39.947582,-75.149726
42,Eastbound,26125,Wycombe Loop,121,0,5,15.5,39.951774,-75.267791
,,,,4944,4856,41,9127.8,,
42,Westbound,20975,2nd St & Chestnut St,30,5,3,18,39.948482,-75.144126
42,Westbound,20974,2nd St & Walnut St,32,3,3,30,39.94696,-75.144462
42,Westbound,31393,34th St & Convention Av,187,305,34,237.4,39.948852,-75.192977
42,Westbound,21450,34th St & Spruce St,114,216,28,222.9,39.950538,-75.192642
42,Westbound,21449,34th St & Walnut St - FS,73,171,34,272,39.952491,-75.192245
42,Westbound,22137,38th Parellel Pl & Dock St - FS,35,13,5,18.5,39.944969,-75.143974
42,Westbound,669,61St & Pine St - FS,14,33,4,6.9,39.95565,-75.244163
42,Westbound,437,61st St & Pine St Loop,28,76,1,0,39.955543,-75.244422
42,Westbound,26118,61st St & Spruce St - FS,0,44,6,6.6,39.956695,-75.24398
42,Westbound,30815,Civic Center Blvd & Health Sciences,18,28,36,276.2,39.946388,-75.197105
42,Westbound,21439,Civic Center Blvd & Osler Cir,97,158,36,151.8,39.94757,-75.19448
42,Westbound,30313,Civic Center Blvd & W Service Dr,27,71,37,116.2,39.946895,-75.195953
42,Westbound,3210,Market St & 2nd St - 1 MBNS,92,41,3,18.6,39.950016,-75.143241
42,Westbound,22183,Marshall Rd & 69th St,3,92,10,24,39.953918,-75.258384
42,Westbound,22180,Marshall Rd & Church Ln,3,5,16,43.1,39.956829,-75.250259
42,Westbound,22186,Marshall Rd & Grace Rd - FS,0,17,8,15.5,39.953125,-75.262496
42,Westbound,19617,Marshall Rd & Hampden Rd,2,19,8,14.4,39.953357,-75.261177
