Route,Direction,Stop Code,Stop,Ons,Offs,Load,Passenger Miles,Lat,Lon
,,,,16599,16471,52,40185.9,,
,,,,8415,8357,50,21293.7,,
23,Northbound,16845,11th St & Arch St,274,8,38,289.1,39.95367,-75.157836
23,Northbound,16867,11th St & Berks St,45,47,38,245.2,39.980915,-75.15187
23,Northbound,16855,11th St & Brown St,48,58,39,159.8,39.966552,-75.154983
23,Northbound,17855,11th St & Callowhill St,42,41,40,137.1,39.958847,-75.156684
23,Northbound,16865,11th St & Cecil B Moore Av,124,68,39,251.7,39.97784,-75.152542
23,Northbound,16873,11th St & Cumberland St,62,70,36,244.7,39.990089,-75.149856
23,Northbound,16871,11th St & Dauphin St,53,33,37,247.2,39.987087,-75.15052
23,Northbound,16869,11th St & Diamond St,38,25,37,262.6,39.983894,-75.151206
23,Northbound,16854,11th St & Fairmount Av,41,82,40,141.7,39.965599,-75.155204
23,Northbound,1185,11th St & Girard Av,218,125,38,294.5,39.970611,-75.154121
23,Northbound,16852,11th St & Green St,38,58,40,224.4,39.962673,-75.155845
23,Northbound,16874,11th St & Huntingdon St,34,58,35,150.5,39.991577,-75.149536
23,Northbound,16863,11th St & Jefferson St,29,39,37,231,39.97507,-75.153144
23,Northbound,32331,11th St & Market St,2043,0,33,293.3,39.951602,-75.158264
23,Northbound,16862,11th St & Master St,41,51,37,220.1,39.97372,-75.153434
23,Northbound,16866,11th St & Montgomery Av,21,42,38,254.9,39.979362,-75.152206
23,Northbound,16849,11th St & Noble St,6,12,39,82.5,39.959697,-75.156509
23,Northbound,16868,11th St & Norris St,32,36,37,241.2,39.982425,-75.151542
23,Northbound,16864,11th St & Oxford St,18,30,37,214.1,39.976501,-75.152832
23,Northbound,16856,11th St & Parrish St,27,51,39,171.5,39.967658,-75.154754
23,Northbound,16857,11th St & Poplar St,49,50,38,256.2,39.968841,-75.154487
23,Northbound,16846,11th St & Race St,46,26,39,184,39.95549,-75.157447
23,Northbound,16850,11th St & Ridge Av,11,18,39,213.6,39.960205,-75.156394
23,Northbound,16851,11th St & Spring Garden St,112,84,40,189.1,39.961532,-75.156097
23,Northbound,16870,11th St & Susquehanna Av,63,65,36,257.6,39.985504,-75.150856
23,Northbound,16858,11th St & Thompson St,72,52,38,212.4,39.972415,-75.153717
23,Northbound,16847,11th St & Vine St,34,21,39,350.2,39.95668,-75.157157
23,Northbound,16853,11th St & Wallace St,22,51,39,216.8,39.964164,-75.155532
23,Northbound,16872,11th St & York St,56,58,36,249.1,39.988578,-75.150192
23,Northbound,21222,Chestnut Hill Loop,40,418,2,0,40.077716,-75.208297
23,Northbound,16893,Germantown Av & 20th St,21,52,44,215.9,40.021888,-75.15818
23,Northbound,17044,Germantown Av & Abbottsford Av,39,83,45,436.2,40.026641,-75.160415
23,Northbound,17770,Germantown Av & Abington Av,0,9,15,69.8,40.071926,-75.201644
23,Northbound,17405,Germantown Av & Allens Ln,29,132,17,96.6,40.061191,-75.191719
23,Northbound,17055,Germantown Av & Armat St,35,84,40,189.3,40.035011,-75.173576
23,Northbound,17050,Germantown Av & Ashmead St,85,168,46,227.3,40.030849,-75.166412
23,Northbound,31460,Germantown Av & Berkley St,122,96,45,657.9,40.023815,-75.159408
23,Northbound,17051,Germantown Av & Bringhurst St,72,118,44,256.6,40.031536,-75.167655
23,Northbound,1189,Germantown Av & Butler St,130,50,48,391.9,40.010795,-75.15129
23,Northbound,16877,Germantown Av & Cambria St,64,38,41,255.4,39.996032,-75.147033
23,Northbound,17227,Germantown Av & Carpenter Ln,9,71,25,73.2,40.05471,-75.186782
23,Northbound,949,Germantown Av & Chelten Av,421,717,38,169.8,40.035785,-75.174545
23,Northbound,17210,Germantown Av & Cliveden St,9,71,33,156.2,40.047016,-75.18267
23,Northbound,17053,Germantown Av & Coulter St,68,151,42,369.5,40.033138,-75.170448
23,Northbound,16892,Germantown Av & Dennie St,63,99,46,396.1,40.020446,-75.156776
23,Northbound,17207,Germantown Av & Duval St,20,109,35,164.7,40.044677,-75.181556
23,Northbound,1188,Germantown Av & Erie Av,946,396,47,408.6,40.009021,-75.150657
23,Northbound,17778,Germantown Av & Evergreen Av,23,84,9,63.8,40.076553,-75.207176
23,Northbound,16879,Germantown Av & Glenwood Av,50,31,43,275.2,39.99913,-75.147247
23,Northbound,17228,Germantown Av & Gorgas Ln,11,49,24,134.8,40.055423,-75.187225
23,Northbound,17406,Germantown Av & Gowen Av,9,36,17,127.9,40.062522,-75.19271
23,Northbound,17776,Germantown Av & Gravers Ln,3,67,11,57.8,40.075111,-75.204742
23,Northbound,17196,Germantown Av & Haines St,34,84,37,155.9,40.03836,-75.176811
23,Northbound,17771,Germantown Av & Hartwell Ln,2,33,16,54.9,40.073173,-75.202529
23,Northbound,17197,Germantown Av & High St,27,56,37,197.5,40.03926,-75.177543
23,Northbound,17777,Germantown Av & Highland Av,1,80,10,29.7,40.076023,-75.206268
23,Northbound,16881,Germantown Av & Hilton St,146,16,44,185.9,40.001625,-75.148315
23,Northbound,17213,Germantown Av & Hortter St,17,93,27,122.3,40.050537,-75.184524
23,Northbound,16888,Germantown Av & Hunting Park Av,216,131,50,350.9,40.015743,-75.153678
23,Northbound,16878,Germantown Av & Indiana Av,57,48,42,287.3,39.997516,-75.146697
23,Northbound,17208,Germantown Av & Johnson St,37,70,34,158.7,40.045864,-75.182098
23,Northbound,16890,Germantown Av & Juniata St,43,76,49,248.5,40.017971,-75.154907
23,Northbound,1186,Germantown Av & Lehigh Av,315,185,35,269.3,39.992954,-75.14785
23,Northbound,17047,Germantown Av & Logan St,101,201,45,342.9,40.028232,-75.161994
23,Northbound,16887,Germantown Av & Lycoming St,30,69,48,333.5,40.01435,-75.152946
23,Northbound,17407,Germantown Av & McPherson St,3,19,17,52.3,40.064342,-75.194046
23,Northbound,30859,Germantown Av & Mermaid Ln,3,68,16,82.1,40.067672,-75.197166
23,Northbound,17410,Germantown Av & Moreland Av,9,22,16,66.2,40.068641,-75.198623
23,Northbound,17404,Germantown Av & Mt Airy Av,25,129,23,84.7,40.060165,-75.190917
23,Northbound,17403,Germantown Av & Mt Pleasant Av,44,104,25,169.8,40.058357,-75.18927
23,Northbound,17052,Germantown Av & Penn St,26,66,45,250.6,40.032329,-75.169075
23,Northbound,17215,Germantown Av & Phil Ellena St,20,126,26,124.5,40.051567,-75.185104
23,Northbound,16886,Germantown Av & Pike St,25,63,47,464.3,40.012424,-75.151985
23,Northbound,17056,Germantown Av & Price St,18,39,38,139,40.036624,-75.17543
23,Northbound,16883,Germantown Av & Rising Sun Av,84,62,45,372,40.003856,-75.149101
23,Northbound,17191,Germantown Av & Rittenhouse St,28,73,38,168.4,40.037406,-75.176017
23,Northbound,17408,Germantown Av & Roumfort Rd,6,16,17,204.4,40.06491,-75.194961
23,Northbound,16891,Germantown Av & Saint Paul St,41,89,47,393.4,40.018962,-75.155525
23,Northbound,17054,Germantown Av & School House Ln,43,110,40,183.7,40.034366,-75.172538
23,Northbound,16880,Germantown Av & Sedgley Av,101,114,42,186.2,40.000602,-75.147911
23,Northbound,17402,Germantown Av & Sedgwick St,26,145,24,149.7,40.056827,-75.18795
23,Northbound,17048,Germantown Av & Seymour St,60,106,47,235.1,40.029262,-75.163635
23,Northbound,17212,Germantown Av & Sharpnack St,24,115,28,159.2,40.049251,-75.183822
23,Northbound,17218,Germantown Av & Slocum St,24,69,26,161.1,40.053134,-75.185966
23,Northbound,16876,Germantown Av & Somerset St,124,78,38,260.5,39.994537,-75.14743
23,Northbound,17774,Germantown Av & Southampton Av,5,58,12,62.9,40.074153,-75.203323
