Route,Direction,Period,Pattern,Block,Trip,Service Type,Avg. Ons,Avg. Offs,Avg. Time,Avg. P/Vh,Avg. Dist,Avg. M/H,Avg. P/M,Avg. PM,Max Load,Trips Sampled,Trips Scheduled
,,,,,,,531,531,0:31:55,21.1,8.16,15.65,1.34,1582.07,7.84,3438,4334
,,,,,,,107,107,0:32:51,15.9,8.47,15.69,1.05,317.81,6.25,56,84
310,Loop,AM Peak,10STST,8557,[07:04] 7606073,WEEKDAY,8,8,0:33:17,14.42,8.75,15.78,0.91,26.78,4.8,5,7
310,Loop,AM Peak,10STST,8557,[08:33] 7606074,WEEKDAY,13,13,0:33:40,23.16,8.75,15.6,1.48,32.8,10.2,5,7
310,Loop,Midday,10STST,8557,[10:01] 7606075,WEEKDAY,6,6,0:33:57,10.6,8.57,15.14,0.7,16.27,4.6,5,7
310,Loop,Midday,10STST,8557,[11:40] 7606076,WEEKDAY,8,8,0:32:32,14.75,8.75,16.15,0.91,14.41,6,4,7
310,Loop,Midday,10STST,8557,[13:40] 7606077,WEEKDAY,11,11,0:39:23,16.76,8.59,13.08,1.28,28.65,7.4,5,7
310,Loop,PM Peak,10STST,8557,[15:21] 7606078,WEEKDAY,10,10,0:31:33,19.01,8.75,16.65,1.14,33.48,7,4,7
310,Loop,PM Peak,10STST,8558,[16:03] 7606079,WEEKDAY,11,11,0:34:07,19.34,8.45,14.85,1.3,29.54,6.5,4,7
310,Loop,PM Peak,10STW,8558,[17:29] 7606080,WEEKDAY,16,16,0:36:28,26.32,8.82,14.51,1.81,55.65,10.75,4,7
310,Loop,Evening,310,8558,[19:05] 7606081,WEEKDAY,2,2,0:35:20,3.39,8.17,13.87,0.24,4.51,2,5,7
310,Loop,Evening,310,8558,[20:14] 7606082,WEEKDAY,5,5,0:29:27,10.18,8.06,16.41,0.62,21.89,3.8,5,7
310,Loop,Evening,310,8558,[21:41] 7606083,WEEKDAY,16,16,0:31:43,30.26,7.94,15.03,2.01,51.46,11,5,7
310,Loop,Late Night,310,8558,[23:07] 7606072,WEEKDAY,1,1,0:22:44,2.64,8.06,21.26,0.12,2.37,1,5,7
,,,,,,,425,425,0:30:59,26.29,7.85,15.6,1.64,1264.26,9.43,3382,4250
